Reporter ISO3,Reporter Name,Sector Description,Skilled Direct LVAX (US$ Mil),Unskilled Direct LVAX (US$ Mil),Skilled labor share of output (%),Unskilled labor share of output (%),Skilled direct labor share of value added (%),Unskilled direct labor share of value added (%),Skilled labor share of value added fwd (%),Unskilled labor share of value added fwd (%),Skilled labor share of value added bwd (%),Unskilled labor share of value added bwd (%),Skilled LVAX share bwd (%),Unskilled LVAX share bwd (%),Skilled revealed intensity index fwd (%),Unskilled revealed intensity index fwd (%),Skilled revealed intensity index bwd (%),Unskilled revealed intensity index bwd (%),Gross exports (US$ Mil),Gross output (US$ Mil),Gross exports (%),Skilled Total LVAD bwd (US$ Mil),Unskilled Total LVAD bwd (US$ Mil),Skilled Total LVAX bwd (US$ Mil),Unskilled Total LVAX bwd (US$ Mil),Total LVAD bwd (US$ Mil),Total LVAX bwd (US$ Mil),Total LVAD fwd (US$ Mil),Total LVAX fwd (US$ Mil),Skilled Total LVAX fwd (US$ Mil),Unskilled Total LVAX fwd (US$ Mil),Total LVAX share bwd (%),Direct LVAX (US$ Mil),Skilled Direct LVAD (US$ Mil),Unskilled Direct LVAD (US$ Mil)
CHN,China,"Agr, Forestry, Fisheries",67.18199921,8330.599609,6.340000033,35.06000042,0.249999994,1.370000001,0.970000029,5.339999869,0.109999999,0.520000001,1.925759656,52.82226914,63.349998,70.27000189,6.689999998,12.1799998,17306.29946,1118545.5,0.910000037,6038.27124,165623.3594,333.2777328,9141.580078,171661.6306,9474.857811,463117.3412,94288.23421,754.307693,93533.92651,54.7480288,8397.781609,1217.199951,150930
CHN,China,Beverages and Tobacco Products,23.3390007,171.1600037,3.030000068,9.809999913,0.01,0.030000001,0.060000003,0.190000003,0.01,0.030000001,6.017353973,38.70783697,13.94000053,36.12000048,1.640000008,4.01000008,1374.773804,190708.2344,0.069999998,4673.784058,30064.74805,82.7250061,532.1452026,34738.5321,614.8702087,24485.85588,3665.109173,439.8133088,3225.295864,44.72519094,194.4990044,1318.599976,9669.900391
CHN,China,Construction,168.6499939,926.4500122,3.720000014,16.27999991,0.050000002,0.200000009,0.030000001,0.109999999,0.050000002,0.120000006,8.651570875,39.76676794,5.249999836,5.350000039,11.64999977,16.20000005,5403.553711,1761833.5,0.27999999,147266.4375,676915.25,467.4922791,2148.818665,824181.6875,2616.310944,352344.6559,2109.176122,324.817962,1784.35816,48.41833881,1095.100006,53126,291850
CHN,China,"Chemical, Rubber, Plastic Products",5046.700195,25173,2.480000071,7.999999821,0.939999986,3.030000068,1.040000003,3.370000049,1.350000035,3.079999983,7.275303996,32.27927889,16.32000059,35.6099993,12.38999963,26.24999881,167015.0625,1670265.5,8.749999851,18111.91455,80359.5625,12150.85352,53911.25781,98471.47705,66062.11133,174938.9101,65963.85666,11015.97871,54947.87795,39.55458289,30219.7002,7522.600098,37523
CHN,China,"Electricity, Gas, Water",111.2399979,211.1900024,4.199999943,13.18999976,0.019999999,0.050000002,0.230000005,0.710000005,0.01,0.030000001,11.39303919,26.95631596,13.51999938,38.87999952,4.019999877,9.520000219,1648.928879,294123.9688,0.089999998,4999.247559,11828.63477,187.8631134,444.4904785,16827.88232,632.3535919,51168.94703,14085.87084,4859.601539,9226.269302,38.34935515,322.4300003,2960.199951,5620.100098
CHN,China,Energy Extraction,388.3500061,2437.699951,1.140000019,5.660000071,0.069999998,0.329999998,0.109999999,0.529999984,0.109999999,0.289999996,4.33729675,18.83524726,6.849999726,19.7300002,3.649999946,7.959999889,25428.58892,430461.4063,1.329999976,1201.758759,5218.819336,1102.913361,4789.537598,6420.578094,5892.450958,29292.59263,9593.380765,1318.294361,8275.086404,23.17254401,2826.049957,423.1600037,2656.199951
CHN,China,Metal Products,1385.699951,7852.5,2.639999986,8.529999852,0.419999985,1.350000035,0.310000009,1.009999961,0.57000001,1.300000027,7.311582284,32.70460225,12.28,29.51999903,26.01000071,53.64999771,69703.26563,439740.5625,3.649999946,6115.881958,27356.32324,5096.411621,22796.17578,33472.2052,27892.5874,49089.71535,19837.42331,2975.567436,16861.85587,40.01618454,9238.199951,1662.900024,9423.299805
CHN,China,Ferrous Metals,959.960022,5397.399902,2.209999971,7.140000165,0.240000011,0.769999996,0.449999981,1.449999958,0.340000005,0.789999962,6.565648857,28.91991135,26.51000023,55.4700017,14.69999999,32.57000148,47417.30469,956105.4375,2.480000071,3018.551514,13295.87598,3113.253723,13713.04248,16314.42749,16826.2962,89363.59461,28301.32828,4273.464484,24027.86379,35.48556021,6357.359924,930.7600098,5233.200195
CHN,China,Leather Products,1662,10558,2.749999985,8.900000155,0.469999993,1.530000009,0.230000005,0.74,0.680000009,1.830000058,6.719517297,42.51912954,51.52999759,108.0199957,74.79000092,149.150002,75795.92969,212922.8125,3.970000148,7932.683105,50196.16016,5093.120605,32227.76953,58128.84326,37320.89014,24812.85101,14571.30254,1981.774771,12589.52777,49.23864684,12220,2588.600098,16445
CHN,China,Wood Products,950,7457.100098,2.449999936,7.930000126,0.310000009,0.989999995,0.190000003,0.630000001,0.46000001,1.20000001,5.885095141,38.94263145,23.42000008,50.05000234,38.17000091,73.03000093,55292.39844,226920,2.899999917,3252.853088,21524.61279,3254.010254,21532.31494,24777.46588,24786.3252,23558.91156,12311.58774,1391.211308,10920.37643,44.82772659,8407.100098,949.6599731,7454.399902
CHN,China,Machinery and Equipment nec,22397,109350,2.679999918,8.659999818,4.720000178,15.25000036,2.309999987,7.450000197,6.400000304,14.04000074,7.615656049,31.58336872,20.48999965,44.42000091,29.26000059,58.25999975,777477.0313,2903364.75,40.7099992,108779.6094,451118.4375,59209.97656,245553.4375,559898.0469,304763.4141,329262.0873,145862.651,24796.68055,121065.9705,39.19902477,131747,41147,200890
CHN,China,Metals nec,499.3900146,2641.399902,2.219999954,7.159999758,0.120000006,0.389999989,0.310000009,0.999999978,0.170000002,0.400000019,6.634743038,28.13160893,21.14000022,44.40000057,6.04000017,12.96000034,24315.51367,489373.0625,1.269999985,1562.087097,6623.332031,1613.271851,6840.345215,8185.419128,8453.617065,45911.7659,19660.7914,3126.154355,16534.63704,34.76635197,3140.789917,483.5499878,2557.600098
